cond,model,scenario_id,cell_type,unethical
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,1
with V/G prompting,gpt55,s2,palter,2
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,5
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,opus48,s2,palter,4
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gemini3pro,s2,palter,1
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,3
with V/G prompting,gpt55,s2,truthy_falsehood,3
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,truthy_falsehood,4
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,4
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,4
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,opus48,s2,truthy_falsehood,3
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,2
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,3
with V/G prompting,gemini3pro,s2,truthy_falsehood,2
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gemini3pro,s2,truthy_falsehood,4
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,6
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,gpt55,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,6
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,6
with V/G prompting,opus48,s2,blatant_falsehood,5
with V/G prompting,opus48,s2,blatant_falsehood,6
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,4
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,4
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gemini3pro,s2,blatant_falsehood,5
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,gpt55,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,opus48,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gemini3pro,s4,fully_true,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,1
with V/G prompting,gpt55,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,opus48,s4,palter,2
with V/G prompting,gemini3pro,s4,palter,2
with V/G prompting,gemini3pro,s4,palter,2
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,2
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gemini3pro,s4,palter,1
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,4
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,gpt55,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,opus48,s4,truthy_falsehood,3
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,3
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gemini3pro,s4,truthy_falsehood,1
with V/G prompting,gemini3pro,s4,truthy_falsehood,1
with V/G prompting,gemini3pro,s4,truthy_falsehood,2
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,gpt55,s4,blatant_falsehood,3
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,5
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,4
with V/G prompting,opus48,s4,blatant_falsehood,5
with V/G prompting,gemini3pro,s4,blatant_falsehood,1
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gemini3pro,s4,blatant_falsehood,3
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gemini3pro,s4,blatant_falsehood,3
with V/G prompting,gemini3pro,s4,blatant_falsehood,1
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gemini3pro,s4,blatant_falsehood,2
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,gpt55,s12,fully_true,1
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,opus48,s12,fully_true,1
with V/G prompting,opus48,s12,fully_true,2
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gemini3pro,s12,fully_true,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,2
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,gpt55,s12,palter,1
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,3
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,3
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,2
with V/G prompting,opus48,s12,palter,2
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gemini3pro,s12,palter,1
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,5
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,5
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,opus48,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,1
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gemini3pro,s12,truthy_falsehood,4
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,7
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,6
with V/G prompting,gpt55,s12,blatant_falsehood,7
with V/G prompting,gpt55,s12,blatant_falsehood,7
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,opus48,s12,blatant_falsehood,6
with V/G prompting,gemini3pro,s12,blatant_falsehood,6
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,6
with V/G prompting,gemini3pro,s12,blatant_falsehood,6
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gemini3pro,s12,blatant_falsehood,7
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,gpt55,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,opus48,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gemini3pro,s13,fully_true,1
with V/G prompting,gpt55,s13,palter,1
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,1
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,1
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,gpt55,s13,palter,2
with V/G prompting,opus48,s13,palter,4
with V/G prompting,opus48,s13,palter,4
with V/G prompting,opus48,s13,palter,3
with V/G prompting,opus48,s13,palter,3
with V/G prompting,opus48,s13,palter,4
with V/G prompting,opus48,s13,palter,3
with V/G prompting,opus48,s13,palter,3
with V/G prompting,opus48,s13,palter,4
with V/G prompting,opus48,s13,palter,3
with V/G prompting,opus48,s13,palter,3
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,2
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gemini3pro,s13,palter,1
with V/G prompting,gpt55,s13,truthy_falsehood,4
with V/G prompting,gpt55,s13,truthy_falsehood,2
with V/G prompting,gpt55,s13,truthy_falsehood,2
with V/G prompting,gpt55,s13,truthy_falsehood,2
with V/G prompting,gpt55,s13,truthy_falsehood,3
with V/G prompting,gpt55,s13,truthy_falsehood,3
with V/G prompting,gpt55,s13,truthy_falsehood,3
with V/G prompting,gpt55,s13,truthy_falsehood,3
with V/G prompting,gpt55,s13,truthy_falsehood,2
with V/G prompting,gpt55,s13,truthy_falsehood,2
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,opus48,s13,truthy_falsehood,3
with V/G prompting,gemini3pro,s13,truthy_falsehood,3
with V/G prompting,gemini3pro,s13,truthy_falsehood,4
with V/G prompting,gemini3pro,s13,truthy_falsehood,3
with V/G prompting,gemini3pro,s13,truthy_falsehood,4
with V/G prompting,gemini3pro,s13,truthy_falsehood,3
with V/G prompting,gemini3pro,s13,truthy_falsehood,2
with V/G prompting,gemini3pro,s13,truthy_falsehood,4
with V/G prompting,gemini3pro,s13,truthy_falsehood,3
