model,scenario_id,cell_type,verbatim,gist,unethical
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,2
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
opus48,s1,truthy_falsehood,2,6,3
gemini35flash,s1,truthy_falsehood,3,7,1
gemini35flash,s1,truthy_falsehood,3,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,3,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gemini35flash,s1,truthy_falsehood,2,7,1
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
gpt56sol,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
opus48,s1,blatant_falsehood,1,1,6
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,5
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,6
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,7
gemini35flash,s1,blatant_falsehood,1,1,7
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
gpt56sol,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,6,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
opus48,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gemini35flash,s2,fully_true,7,7,1
gpt56sol,s2,palter,5,3,2
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,5,4,2
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,3,3,3
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,4,3,2
gpt56sol,s2,palter,4,3,2
opus48,s2,palter,3,2,4
opus48,s2,palter,3,3,4
opus48,s2,palter,3,3,4
opus48,s2,palter,2,2,5
opus48,s2,palter,2,2,4
opus48,s2,palter,2,3,4
opus48,s2,palter,2,2,4
opus48,s2,palter,2,2,4
opus48,s2,palter,2,3,4
opus48,s2,palter,2,2,5
gemini35flash,s2,palter,3,3,2
gemini35flash,s2,palter,3,2,2
gemini35flash,s2,palter,3,3,2
gemini35flash,s2,palter,3,3,2
gemini35flash,s2,palter,5,5,2
gemini35flash,s2,palter,3,3,2
gemini35flash,s2,palter,4,3,2
gemini35flash,s2,palter,3,3,1
gemini35flash,s2,palter,3,3,2
gemini35flash,s2,palter,5,5,2
gpt56sol,s2,truthy_falsehood,2,5,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,3,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,5,2
gpt56sol,s2,truthy_falsehood,1,4,2
gpt56sol,s2,truthy_falsehood,1,5,2
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
opus48,s2,truthy_falsehood,2,4,3
gemini35flash,s2,truthy_falsehood,2,3,1
gemini35flash,s2,truthy_falsehood,1,2,1
gemini35flash,s2,truthy_falsehood,2,2,1
gemini35flash,s2,truthy_falsehood,2,2,1
gemini35flash,s2,truthy_falsehood,1,1,1
gemini35flash,s2,truthy_falsehood,2,2,1
gemini35flash,s2,truthy_falsehood,2,2,1
gemini35flash,s2,truthy_falsehood,1,2,1
gemini35flash,s2,truthy_falsehood,2,2,1
gemini35flash,s2,truthy_falsehood,2,2,1
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
gpt56sol,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
opus48,s2,blatant_falsehood,1,1,6
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,4
gemini35flash,s2,blatant_falsehood,1,1,4
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gemini35flash,s2,blatant_falsehood,1,1,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,6,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
gpt56sol,s3,fully_true,7,7,1
opus48,s3,fully_true,7,7,1
opus48,s3,fully_true,6,6,1
opus48,s3,fully_true,7,7,1
opus48,s3,fully_true,7,6,1
opus48,s3,fully_true,7,6,1
opus48,s3,fully_true,7,7,1
opus48,s3,fully_true,7,7,1
opus48,s3,fully_true,7,7,1
opus48,s3,fully_true,7,6,1
opus48,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gemini35flash,s3,fully_true,7,7,1
gpt56sol,s3,palter,6,2,2
gpt56sol,s3,palter,6,2,3
gpt56sol,s3,palter,6,3,2
gpt56sol,s3,palter,6,3,2
gpt56sol,s3,palter,6,2,3
gpt56sol,s3,palter,6,3,2
gpt56sol,s3,palter,6,2,3
gpt56sol,s3,palter,6,3,2
gpt56sol,s3,palter,6,2,2
gpt56sol,s3,palter,6,2,2
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,4
opus48,s3,palter,6,2,3
opus48,s3,palter,6,2,4
gemini35flash,s3,palter,7,2,1
gemini35flash,s3,palter,7,2,1
gemini35flash,s3,palter,7,2,1
gemini35flash,s3,palter,7,3,1
gemini35flash,s3,palter,7,3,1
gemini35flash,s3,palter,7,3,1
gemini35flash,s3,palter,7,3,1
gemini35flash,s3,palter,7,3,2
gemini35flash,s3,palter,7,3,1
gemini35flash,s3,palter,7,2,1
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,3
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,1
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,2
gpt56sol,s3,truthy_falsehood,2,6,3
gpt56sol,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,2,6,3
opus48,s3,truthy_falsehood,3,6,3
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,2,6,2
opus48,s3,truthy_falsehood,3,6,2
opus48,s3,truthy_falsehood,3,6,2
gemini35flash,s3,truthy_falsehood,4,7,1
gemini35flash,s3,truthy_falsehood,5,7,1
gemini35flash,s3,truthy_falsehood,5,7,1
gemini35flash,s3,truthy_falsehood,4,7,1
gemini35flash,s3,truthy_falsehood,5,7,1
gemini35flash,s3,truthy_falsehood,4,7,1
gemini35flash,s3,truthy_falsehood,3,7,1
gemini35flash,s3,truthy_falsehood,5,7,1
gemini35flash,s3,truthy_falsehood,4,7,1
gemini35flash,s3,truthy_falsehood,5,7,1
gpt56sol,s3,blatant_falsehood,1,1,4
gpt56sol,s3,blatant_falsehood,1,1,5
gpt56sol,s3,blatant_falsehood,1,1,4
gpt56sol,s3,blatant_falsehood,1,1,4
gpt56sol,s3,blatant_falsehood,1,1,5
gpt56sol,s3,blatant_falsehood,1,1,3
gpt56sol,s3,blatant_falsehood,1,1,3
gpt56sol,s3,blatant_falsehood,1,1,3
gpt56sol,s3,blatant_falsehood,1,1,5
gpt56sol,s3,blatant_falsehood,1,1,4
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
opus48,s3,blatant_falsehood,1,1,5
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gemini35flash,s3,blatant_falsehood,1,1,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
gpt56sol,s4,fully_true,7,7,1
opus48,s4,fully_true,6,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,6,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,7,7,1
opus48,s4,fully_true,6,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gemini35flash,s4,fully_true,7,7,1
gpt56sol,s4,palter,7,3,3
gpt56sol,s4,palter,6,3,2
gpt56sol,s4,palter,7,5,2
gpt56sol,s4,palter,6,3,2
gpt56sol,s4,palter,7,4,3
gpt56sol,s4,palter,6,3,2
gpt56sol,s4,palter,7,4,2
gpt56sol,s4,palter,7,4,3
gpt56sol,s4,palter,7,4,2
gpt56sol,s4,palter,6,4,2
opus48,s4,palter,5,3,4
opus48,s4,palter,5,2,5
opus48,s4,palter,5,2,5
opus48,s4,palter,5,2,5
opus48,s4,palter,5,3,4
opus48,s4,palter,5,3,4
opus48,s4,palter,5,2,5
opus48,s4,palter,5,3,4
opus48,s4,palter,5,3,4
opus48,s4,palter,5,3,4
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,6,1
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,6,1
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,7,1
gemini35flash,s4,palter,7,5,1
gemini35flash,s4,palter,7,7,1
gpt56sol,s4,truthy_falsehood,2,6,1
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,2
gpt56sol,s4,truthy_falsehood,2,5,1
gpt56sol,s4,truthy_falsehood,2,4,1
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
opus48,s4,truthy_falsehood,2,3,3
gemini35flash,s4,truthy_falsehood,7,7,1
gemini35flash,s4,truthy_falsehood,4,5,1
gemini35flash,s4,truthy_falsehood,7,7,1
gemini35flash,s4,truthy_falsehood,2,5,1
gemini35flash,s4,truthy_falsehood,7,7,1
gemini35flash,s4,truthy_falsehood,4,6,1
gemini35flash,s4,truthy_falsehood,3,5,1
gemini35flash,s4,truthy_falsehood,4,7,1
gemini35flash,s4,truthy_falsehood,2,5,1
gemini35flash,s4,truthy_falsehood,3,5,1
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
gpt56sol,s4,blatant_falsehood,1,1,5
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
opus48,s4,blatant_falsehood,1,1,6
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,4
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gemini35flash,s4,blatant_falsehood,1,1,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
gpt56sol,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
opus48,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gemini35flash,s5,fully_true,7,7,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,2
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
gpt56sol,s5,palter,7,5,1
opus48,s5,palter,6,2,5
opus48,s5,palter,7,2,5
opus48,s5,palter,6,2,5
opus48,s5,palter,6,2,5
opus48,s5,palter,7,3,4
opus48,s5,palter,6,2,5
opus48,s5,palter,6,2,5
opus48,s5,palter,6,2,5
opus48,s5,palter,6,3,4
opus48,s5,palter,6,2,5
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,4,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,4,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,2,1
gemini35flash,s5,palter,7,2,1
gpt56sol,s5,truthy_falsehood,1,3,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,1,3,2
gpt56sol,s5,truthy_falsehood,1,5,2
gpt56sol,s5,truthy_falsehood,2,5,2
gpt56sol,s5,truthy_falsehood,1,6,2
opus48,s5,truthy_falsehood,2,5,3
opus48,s5,truthy_falsehood,1,4,4
opus48,s5,truthy_falsehood,1,4,3
opus48,s5,truthy_falsehood,1,4,3
opus48,s5,truthy_falsehood,1,4,5
opus48,s5,truthy_falsehood,1,3,4
opus48,s5,truthy_falsehood,1,4,4
opus48,s5,truthy_falsehood,2,5,3
opus48,s5,truthy_falsehood,1,3,4
opus48,s5,truthy_falsehood,1,3,4
gemini35flash,s5,truthy_falsehood,1,3,1
gemini35flash,s5,truthy_falsehood,1,3,1
gemini35flash,s5,truthy_falsehood,1,3,1
gemini35flash,s5,truthy_falsehood,1,2,1
gemini35flash,s5,truthy_falsehood,1,1,1
gemini35flash,s5,truthy_falsehood,3,6,1
gemini35flash,s5,truthy_falsehood,1,2,1
gemini35flash,s5,truthy_falsehood,1,3,1
gemini35flash,s5,truthy_falsehood,1,2,1
gemini35flash,s5,truthy_falsehood,1,1,1
gpt56sol,s5,blatant_falsehood,1,1,2
gpt56sol,s5,blatant_falsehood,1,1,2
gpt56sol,s5,blatant_falsehood,1,1,2
gpt56sol,s5,blatant_falsehood,1,1,3
gpt56sol,s5,blatant_falsehood,1,1,3
gpt56sol,s5,blatant_falsehood,1,1,3
gpt56sol,s5,blatant_falsehood,1,1,3
gpt56sol,s5,blatant_falsehood,1,1,2
gpt56sol,s5,blatant_falsehood,1,1,2
gpt56sol,s5,blatant_falsehood,1,1,3
opus48,s5,blatant_falsehood,1,1,6
opus48,s5,blatant_falsehood,1,1,6
opus48,s5,blatant_falsehood,1,1,5
opus48,s5,blatant_falsehood,1,1,6
opus48,s5,blatant_falsehood,1,1,6
opus48,s5,blatant_falsehood,1,1,6
opus48,s5,blatant_falsehood,1,1,5
opus48,s5,blatant_falsehood,1,1,5
opus48,s5,blatant_falsehood,1,1,5
opus48,s5,blatant_falsehood,1,1,6
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gemini35flash,s5,blatant_falsehood,1,1,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
gpt56sol,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
opus48,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gemini35flash,s6,fully_true,7,7,1
gpt56sol,s6,palter,6,2,3
gpt56sol,s6,palter,6,2,3
gpt56sol,s6,palter,6,3,4
gpt56sol,s6,palter,6,2,4
gpt56sol,s6,palter,6,3,4
gpt56sol,s6,palter,6,2,3
gpt56sol,s6,palter,6,2,4
gpt56sol,s6,palter,6,2,3
gpt56sol,s6,palter,6,3,2
gpt56sol,s6,palter,6,2,3
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
opus48,s6,palter,6,2,5
gemini35flash,s6,palter,7,2,4
gemini35flash,s6,palter,7,2,4
gemini35flash,s6,palter,7,2,2
gemini35flash,s6,palter,7,2,1
gemini35flash,s6,palter,7,3,1
