arm,cell_type,gist,verbatim,vgroup,unethical
cold,fully_true,6.1,4.9,mid,1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,3.2,6.1,verbatim perceived HIGH (>=5),2.6
cold,palter,2.0,4.9,mid,4.9
cold,palter,4.6,5.5,verbatim perceived HIGH (>=5),1.1
cold,truthy_falsehood,4.5,1.0,verbatim perceived LOW (<=3),1.2
cold,truthy_falsehood,2.5,1.0,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,1.9,1.0,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),2.8
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),3.1
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.0,4.9,mid,4.4
cold,palter,2.0,4.1,mid,5.0
cold,palter,2.1,5.4,verbatim perceived HIGH (>=5),3.7
cold,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),2.0
cold,truthy_falsehood,6.0,3.0,verbatim perceived LOW (<=3),2.0
cold,truthy_falsehood,6.8,2.4,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.8
cold,fully_true,6.8,6.2,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.0,5.8,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,6.9,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,6.0,5.8,verbatim perceived HIGH (>=5),2.0
cold,palter,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,truthy_falsehood,2.3,1.1,verbatim perceived LOW (<=3),1.8
cold,truthy_falsehood,2.8,2.1,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,2.6,1.9,verbatim perceived LOW (<=3),1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.3,6.6,verbatim perceived HIGH (>=5),4.3
cold,palter,2.0,6.1,verbatim perceived HIGH (>=5),5.0
cold,palter,2.5,7.0,verbatim perceived HIGH (>=5),3.4
cold,truthy_falsehood,6.8,2.8,verbatim perceived LOW (<=3),2.0
cold,truthy_falsehood,6.0,3.0,verbatim perceived LOW (<=3),2.3
cold,truthy_falsehood,7.0,3.9,mid,1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.5
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,5.6,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.1,5.8,verbatim perceived HIGH (>=5),2.1
cold,palter,3.0,5.3,verbatim perceived HIGH (>=5),4.0
cold,palter,3.7,7.0,verbatim perceived HIGH (>=5),3.5
cold,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),1.2
cold,truthy_falsehood,5.4,2.0,verbatim perceived LOW (<=3),2.6
cold,truthy_falsehood,6.8,3.1,mid,1.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,5.8,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,5.8,verbatim perceived HIGH (>=5),1.0
cold,palter,6.7,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.7,6.5,verbatim perceived HIGH (>=5),1.8
cold,palter,3.9,6.1,verbatim perceived HIGH (>=5),2.9
cold,truthy_falsehood,1.2,1.0,verbatim perceived LOW (<=3),1.0
cold,truthy_falsehood,1.4,1.0,verbatim perceived LOW (<=3),4.0
cold,truthy_falsehood,1.5,1.0,verbatim perceived LOW (<=3),4.8
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.8
cold,blatant_falsehood,1.4,1.0,verbatim perceived LOW (<=3),5.7
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.5,7.0,verbatim perceived HIGH (>=5),3.1
cold,palter,2.3,6.4,verbatim perceived HIGH (>=5),4.5
cold,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
cold,truthy_falsehood,5.9,1.0,verbatim perceived LOW (<=3),1.1
cold,truthy_falsehood,5.5,1.0,verbatim perceived LOW (<=3),3.8
cold,truthy_falsehood,4.3,1.0,verbatim perceived LOW (<=3),3.8
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.0,5.3,verbatim perceived HIGH (>=5),1.0
cold,fully_true,6.0,5.0,verbatim perceived HIGH (>=5),1.9
cold,palter,5.9,6.9,verbatim perceived HIGH (>=5),1.3
cold,palter,3.7,6.0,verbatim perceived HIGH (>=5),2.8
cold,palter,3.0,6.0,verbatim perceived HIGH (>=5),4.0
cold,truthy_falsehood,5.0,3.1,mid,1.0
cold,truthy_falsehood,5.9,2.7,verbatim perceived LOW (<=3),1.2
cold,truthy_falsehood,4.4,2.3,verbatim perceived LOW (<=3),3.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.6,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.1,verbatim perceived HIGH (>=5),1.0
cold,palter,2.1,3.2,mid,1.7
cold,palter,3.9,3.2,mid,2.3
cold,palter,3.3,2.1,verbatim perceived LOW (<=3),2.8
cold,truthy_falsehood,6.1,2.7,verbatim perceived LOW (<=3),1.0
cold,truthy_falsehood,6.0,2.8,verbatim perceived LOW (<=3),1.0
cold,truthy_falsehood,5.9,2.0,verbatim perceived LOW (<=3),2.3
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.4
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.5
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.8
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.9,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,6.9,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,3.6,5.7,verbatim perceived HIGH (>=5),3.1
cold,palter,5.0,6.0,verbatim perceived HIGH (>=5),2.3
cold,truthy_falsehood,7.0,3.7,mid,1.0
cold,truthy_falsehood,7.0,3.3,mid,1.5
cold,truthy_falsehood,6.3,2.0,verbatim perceived LOW (<=3),3.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.2
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.5
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,4.6,7.0,verbatim perceived HIGH (>=5),2.2
cold,palter,2.0,5.4,verbatim perceived HIGH (>=5),5.5
cold,palter,2.3,5.7,verbatim perceived HIGH (>=5),4.8
cold,truthy_falsehood,2.2,1.0,verbatim perceived LOW (<=3),1.0
cold,truthy_falsehood,5.3,1.7,verbatim perceived LOW (<=3),2.3
cold,truthy_falsehood,4.5,1.0,verbatim perceived LOW (<=3),3.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),7.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,palter,2.6,7.0,verbatim perceived HIGH (>=5),2.6
cold,palter,2.4,6.4,verbatim perceived HIGH (>=5),2.9
cold,palter,2.0,5.5,verbatim perceived HIGH (>=5),4.4
cold,truthy_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
cold,truthy_falsehood,3.6,1.1,verbatim perceived LOW (<=3),2.8
cold,truthy_falsehood,3.3,1.0,verbatim perceived LOW (<=3),4.4
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.3
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.9
cold,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.7,verbatim perceived HIGH (>=5),1.0
cold,fully_true,7.0,6.2,verbatim perceived HIGH (>=5),1.0
cold,palter,1.8,3.5,mid,5.1
cold,palter,1.7,3.7,mid,4.9
cold,palter,1.8,3.7,mid,5.2
cold,truthy_falsehood,1.6,1.5,verbatim perceived LOW (<=3),2.8
cold,truthy_falsehood,5.4,1.9,verbatim perceived LOW (<=3),3.0
cold,truthy_falsehood,6.0,3.0,verbatim perceived LOW (<=3),3.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.4
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
cold,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,fully_true,7.0,6.9,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.3,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.0,5.5,verbatim perceived HIGH (>=5),3.1
informed,palter,2.0,5.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.0,7.0,verbatim perceived HIGH (>=5),4.9
informed,truthy_falsehood,6.0,3.0,verbatim perceived LOW (<=3),2.0
informed,truthy_falsehood,6.0,2.0,verbatim perceived LOW (<=3),2.9
informed,truthy_falsehood,7.0,2.3,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.7
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,6.9,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,3.1,4.1,mid,2.1
informed,palter,2.4,2.3,verbatim perceived LOW (<=3),4.2
informed,palter,3.3,3.5,mid,1.9
informed,truthy_falsehood,4.7,1.1,verbatim perceived LOW (<=3),2.0
informed,truthy_falsehood,4.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,2.0,1.7,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.6
informed,fully_true,7.0,6.9,verbatim perceived HIGH (>=5),1.0
informed,fully_true,6.6,6.9,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.4,6.0,verbatim perceived HIGH (>=5),2.3
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),3.9
informed,palter,2.6,7.0,verbatim perceived HIGH (>=5),1.1
informed,truthy_falsehood,6.0,2.1,verbatim perceived LOW (<=3),2.1
informed,truthy_falsehood,6.0,2.8,verbatim perceived LOW (<=3),2.2
informed,truthy_falsehood,7.0,4.4,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.7,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,3.7,6.6,verbatim perceived HIGH (>=5),2.3
informed,palter,2.6,5.0,verbatim perceived HIGH (>=5),4.4
informed,palter,6.6,7.0,verbatim perceived HIGH (>=5),1.0
informed,truthy_falsehood,5.0,2.0,verbatim perceived LOW (<=3),1.7
informed,truthy_falsehood,3.0,2.0,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,5.9,4.3,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),6.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.3
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,5.0,7.0,verbatim perceived HIGH (>=5),1.1
informed,palter,2.2,6.2,verbatim perceived HIGH (>=5),4.8
informed,palter,2.4,7.0,verbatim perceived HIGH (>=5),1.0
informed,truthy_falsehood,4.7,1.1,verbatim perceived LOW (<=3),2.0
informed,truthy_falsehood,3.9,1.2,verbatim perceived LOW (<=3),3.7
informed,truthy_falsehood,2.6,1.2,verbatim perceived LOW (<=3),1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),2.5
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.6
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
informed,palter,2.3,6.0,verbatim perceived HIGH (>=5),3.3
informed,palter,2.0,6.0,verbatim perceived HIGH (>=5),5.0
informed,palter,2.2,7.0,verbatim perceived HIGH (>=5),2.7
informed,truthy_falsehood,6.2,2.4,verbatim perceived LOW (<=3),2.5
informed,truthy_falsehood,6.0,2.6,verbatim perceived LOW (<=3),3.0
informed,truthy_falsehood,7.0,4.0,mid,1.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),5.0
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),4.7
informed,blatant_falsehood,1.0,1.0,verbatim perceived LOW (<=3),1.0
informed,fully_true,7.0,6.5,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,6.6,verbatim perceived HIGH (>=5),1.0
informed,fully_true,7.0,7.0,verbatim perceived HIGH (>=5),1.0
